name,name_id,country_code,country_name,count,pct_in_country,origin
Isa,isa-sn,NG,Nigeria,5610,0.0014,Arabic and multicultural
Isaac,isaac-sn,GH,Ghana,2329,0.017328,Hebrew
Isaac,isaac-sn,NG,Nigeria,9123,0.002276,Hebrew
Isaac,isaac-sn,US,United States,1454,0.000098,Hebrew
Isaac,isaac-sn,ZA,South Africa,2877,0.000635,Hebrew
Isaacs,isaacs-sn,ZA,South Africa,6205,0.001369,English patronymic from the biblical name Isaac
Isabel,isabel-sn,CL,Chile,1183,0.00046,Spanish and Portuguese
Isabel,isabel-sn,CO,Colombia,1817,0.000189,Spanish and Portuguese
Isabel,isabel-sn,PT,Portugal,1346,0.001028,Spanish and Portuguese
Isabel,isabel-sn,US,United States,1034,0.000069,Spanish and Portuguese
Isabelle,isabelle-sn,FR,France,1262,0.000431,
Исаев,isaev-sn,KZ,Kazakhstan,1325,0.009067,Russian
Исаев,isaev-sn,RU,Russia,5818,0.002789,Russian
Isaeva,isaeva-sn,KZ,Kazakhstan,1612,0.01103,Russian
Isaeva,isaeva-sn,RU,Russia,5712,0.002738,Russian
Isah,isah-sn,NG,Nigeria,11952,0.002982,Arabic
Isaiah,isaiah-sn,NG,Nigeria,1997,0.000498,
Исаков,isakov-sn,RU,Russia,1633,0.000783,
Исакова,isakova-sn,RU,Russia,1583,0.000759,
Isaza,isaza-sn,CO,Colombia,5393,0.000561,Basque
Ishag,ishag-sn,SD,Sudan,1588,0.000347,
Ishak,ishak-sn,DZ,Algeria,3164,0.000795,Arabic (Hebrew)
Ishak,ishak-sn,MY,Malaysia,11640,0.002508,Arabic (Hebrew)
Ishaku,ishaku-sn,NG,Nigeria,1283,0.00032,
Ishaq,ishaq-sn,AE,United Arab Emirates,1336,0.000494,Arabic
Ishaq,ishaq-sn,NG,Nigeria,2636,0.000658,Arabic
Ishaq,ishaq-sn,SA,Saudi Arabia,3883,0.000245,Arabic
Ishaya,ishaya-sn,NG,Nigeria,1330,0.000332,
Ishfaq,ishfaq-sn,SA,Saudi Arabia,1182,0.000075,
Ishola,ishola-sn,NG,Nigeria,3839,0.000958,
Isiaka,isiaka-sn,NG,Nigeria,1545,0.000386,
Isidro,isidro-sn,PH,Philippines,7590,0.111197,Spanish and Greek
Isidro,isidro-sn,ES,Spain,1518,0.000802,Spanish and Greek
Işık,isik-sn,AT,Austria,101,0.002441,Turkish / Turkic
Işık,isik-sn,BE,Belgium,72,0.000753,Turkish / Turkic
Işık,isik-sn,BG,Bulgaria,4,0.000058,Turkish / Turkic
Işık,isik-sn,BH,Bahrain,2,0.000006,Turkish / Turkic
Işık,isik-sn,CA,Canada,17,0.000041,Turkish / Turkic
Işık,isik-sn,CH,Switzerland,59,0.001191,Turkish / Turkic
Işık,isik-sn,DE,Germany,485,0.000634,Turkish / Turkic
Işık,isik-sn,DK,Denmark,33,0.000263,Turkish / Turkic
Işık,isik-sn,DZ,Algeria,3,0.000001,Turkish / Turkic
Işık,isik-sn,FI,Finland,6,0.000062,Turkish / Turkic
Işık,isik-sn,FR,France,302,0.000103,Turkish / Turkic
Işık,isik-sn,GB,United Kingdom,53,0.000012,Turkish / Turkic
Işık,isik-sn,IL,Israel,2,0.000006,Turkish / Turkic
Işık,isik-sn,IT,Italy,24,0.000002,Turkish / Turkic
Işık,isik-sn,KW,Kuwait,2,0.000002,Turkish / Turkic
Işık,isik-sn,KZ,Kazakhstan,4,0.000027,Turkish / Turkic
Işık,isik-sn,MY,Malaysia,5,0.000001,Turkish / Turkic
Işık,isik-sn,NL,Netherlands,217,0.000399,Turkish / Turkic
Işık,isik-sn,OM,Oman,2,0.000001,Turkish / Turkic
Işık,isik-sn,PL,Poland,3,0.000014,Turkish / Turkic
Işık,isik-sn,PS,Palestine,2,0.000005,Turkish / Turkic
Işık,isik-sn,QA,Qatar,3,0.000004,Turkish / Turkic
Işık,isik-sn,RU,Russia,5,0.000002,Turkish / Turkic
Işık,isik-sn,SA,Saudi Arabia,12,0.000001,Turkish / Turkic
Işık,isik-sn,SE,Sweden,53,0.000415,Turkish / Turkic
Işık,isik-sn,TR,Turkey,375,0.000033,Turkish / Turkic
Işık,isik-sn,US,United States,39,0.000003,Turkish / Turkic
Işıklı,isikli-sn,TR,Turkey,1319,0.000116,
Искаков,iskakov-sn,KZ,Kazakhstan,1869,0.012789,
Искакова,iskakova-sn,KZ,Kazakhstan,2577,0.017634,
Iskandar,iskandar-sn,MY,Malaysia,5339,0.001151,Arabic
Iskender,iskender-sn,TR,Turkey,1207,0.000106,
Islam,islam-sn,AE,United Arab Emirates,29450,0.010881,Arabic
Islam,islam-sn,BD,Bangladesh,134060,0.069397,Arabic
Islam,islam-sn,BH,Bahrain,9454,0.027865,Arabic
Islam,islam-sn,DZ,Algeria,5477,0.001377,Arabic
Islam,islam-sn,EG,Egypt,7216,0.000214,Arabic
Islam,islam-sn,GB,United Kingdom,3207,0.000747,Arabic
Islam,islam-sn,IN,India,9708,0.003316,Arabic
Islam,islam-sn,IQ,Iraq,1692,0.00016,Arabic
Islam,islam-sn,IT,Italy,5926,0.000504,Arabic
Islam,islam-sn,KW,Kuwait,14983,0.016423,Arabic
Islam,islam-sn,LY,Libya,1361,0.000904,Arabic
Islam,islam-sn,MA,Morocco,4239,0.0006,Arabic
Islam,islam-sn,MY,Malaysia,13421,0.002892,Arabic
Islam,islam-sn,OM,Oman,35087,0.01889,Arabic
Islam,islam-sn,QA,Qatar,15233,0.02198,Arabic
Islam,islam-sn,SA,Saudi Arabia,92144,0.005821,Arabic
Islam,islam-sn,SG,Singapore,12691,0.012698,Arabic
Islam,islam-sn,TR,Turkey,1242,0.000109,Arabic
Islam,islam-sn,US,United States,2167,0.000145,Arabic
Исламов,islamov-sn,RU,Russia,1256,0.000602,
Islas,islas-sn,MX,Mexico,5067,0.000739,Spanish
Islas,islas-sn,US,United States,1205,0.000081,Spanish
Işlek,islek-sn,TR,Turkey,1028,0.00009,
Islem,islem-sn,DZ,Algeria,2302,0.000579,
Islem,islem-sn,TN,Tunisia,2053,0.000785,
Işler,isler-sn,TR,Turkey,3452,0.000303,
إسماعيل,ismaayl-sn,EG,Egypt,4579,0.000136,Arabic
إسماعيل,ismaayl-sn,SA,Saudi Arabia,1353,0.000085,Arabic
إسماعيل,ismaayl-sn,SD,Sudan,3131,0.000684,Arabic
Ismael,ismael-sn,EG,Egypt,4657,0.000138,
Ismael,ismael-sn,SY,Syria,1027,0.000273,
Ismail,ismail-sn,EG,Egypt,4554,0.000135,Arabic and Hebrew
Ismail,ismail-sn,TR,Turkey,4554,0.0004,Arabic and Hebrew
Ismaila,ismaila-sn,NG,Nigeria,1672,0.000417,
Ismaili,ismaili-sn,MA,Morocco,2546,0.000361,
Исмаилов,ismailov-sn,KZ,Kazakhstan,1147,0.007849,Russian / Turkic
Исмаилов,ismailov-sn,RU,Russia,4096,0.001963,Russian / Turkic
Исмаилова,ismailova-sn,KZ,Kazakhstan,1273,0.008711,
Исмаилова,ismailova-sn,RU,Russia,1723,0.000826,
Israe,israe-sn,MA,Morocco,2378,0.000337,
Israel,israel-sn,NG,Nigeria,2846,0.00071,
Israel,israel-sn,US,United States,1257,0.000084,
Israr,israr-sn,SA,Saudi Arabia,1843,0.000116,
Issa,issa-sn,CM,Cameroon,1396,0.011215,Arabic
Issa,issa-sn,DZ,Algeria,1125,0.000283,Arabic
Issa,issa-sn,EG,Egypt,2041,0.00006,Arabic
Issa,issa-sn,LB,Lebanon,4547,0.009497,Arabic
Issa,issa-sn,LY,Libya,1758,0.001168,Arabic
Issa,issa-sn,MA,Morocco,1243,0.000176,Arabic
Issa,issa-sn,PS,Palestine,1044,0.002392,Arabic
Issa,issa-sn,SA,Saudi Arabia,1182,0.000075,Arabic
Issa,issa-sn,SY,Syria,7075,0.001884,Arabic
Issa,issa-sn,TN,Tunisia,1331,0.000509,Arabic
Issam,issam-sn,DZ,Algeria,2259,0.000568,
Issam,issam-sn,MA,Morocco,4409,0.000624,
